case,activity,time,
142,6,10/01/2012 18:59,
148,1,10/01/2012 18:59,
148,8,10/01/2012 19:01,
148,6,10/01/2012 19:02,
148,6,10/01/2012 20:06,
152,1,10/01/2012 20:06,
152,8,10/01/2012 20:07,
152,6,10/01/2012 20:15,
153,1,10/01/2012 20:22,
153,8,10/01/2012 20:33,
153,6,10/01/2012 20:44,
168,1,10/01/2012 20:47,
168,8,10/01/2012 22:31,
168,6,10/01/2012 22:55,
170,1,10/01/2012 23:59,
170,8,11/01/2012 00:01,
170,9,11/01/2012 00:07,
170,8,11/01/2012 00:08,
170,9,11/01/2012 00:30,
170,6,11/01/2012 00:57,
176,1,11/01/2012 00:58,
176,8,11/01/2012 01:22,
176,6,11/01/2012 01:23,
177,1,11/01/2012 01:37,
177,8,11/01/2012 02:07,
177,6,11/01/2012 17:03,
178,1,11/01/2012 17:04,
178,8,11/01/2012 17:09,
178,6,11/01/2012 17:48,
179,1,11/01/2012 17:52,
179,8,11/01/2012 18:44,
179,6,11/01/2012 18:46,
186,1,11/01/2012 19:21,
186,8,11/01/2012 19:22,
186,9,11/01/2012 19:22,
186,6,11/01/2012 19:22,
188,1,11/01/2012 19:29,
188,8,11/01/2012 19:38,
188,6,11/01/2012 19:39,
194,1,11/01/2012 19:40,
194,8,11/01/2012 19:42,
194,6,11/01/2012 19:52,
197,1,11/01/2012 19:54,
197,8,11/01/2012 19:55,
197,6,11/01/2012 19:55,
197,6,11/01/2012 20:00,
200,1,11/01/2012 20:00,
200,8,11/01/2012 20:46,
200,6,11/01/2012 20:59,
211,1,11/01/2012 22:16,
211,6,11/01/2012 22:40,
212,1,11/01/2012 23:10,
212,8,11/01/2012 23:15,
212,6,11/01/2012 23:21,
223,1,11/01/2012 23:23,
223,8,11/01/2012 23:28,
223,6,12/01/2012 00:45,
223,6,12/01/2012 00:59,
224,1,12/01/2012 01:44,
224,8,12/01/2012 01:46,
224,9,12/01/2012 17:31,
224,6,12/01/2012 17:34,
241,1,12/01/2012 17:42,
241,8,12/01/2012 17:45,
241,6,12/01/2012 19:39,
242,1,12/01/2012 20:41,
242,8,12/01/2012 20:53,
242,6,12/01/2012 20:57,
247,3,12/01/2012 21:00,
247,8,12/01/2012 21:02,
247,6,12/01/2012 22:49,
251,1,12/01/2012 23:17,
251,8,12/01/2012 23:19,
251,6,12/01/2012 23:25,
255,1,13/01/2012 00:24,
255,8,13/01/2012 01:46,
255,6,13/01/2012 01:58,
261,1,13/01/2012 01:58,
261,8,13/01/2012 01:59,
261,6,13/01/2012 17:20,
266,1,13/01/2012 17:24,
266,6,13/01/2012 17:25,
266,6,13/01/2012 17:28,
272,1,13/01/2012 17:28,
272,8,13/01/2012 17:29,
272,9,13/01/2012 17:32,
272,6,13/01/2012 17:34,
274,1,13/01/2012 17:35,
274,8,13/01/2012 17:39,
274,6,13/01/2012 18:25,
277,1,13/01/2012 18:44,
277,8,13/01/2012 18:45,
277,6,13/01/2012 18:50,
283,1,13/01/2012 18:50,
283,8,13/01/2012 19:17,
283,6,13/01/2012 19:36,
285,1,13/01/2012 19:42,
285,8,13/01/2012 19:48,
285,6,13/01/2012 20:02,
290,1,13/01/2012 20:12,
290,9,13/01/2012 20:14,
290,6,13/01/2012 20:14,
290,6,13/01/2012 20:26,
293,1,13/01/2012 20:39,
293,8,13/01/2012 20:48,
293,6,13/01/2012 22:16,
295,1,13/01/2012 22:19,
295,8,13/01/2012 22:21,
295,6,13/01/2012 22:30,
303,6,16/01/2012 17:07,
305,1,16/01/2012 17:34,
305,8,16/01/2012 17:35,
305,9,16/01/2012 17:37,
305,6,16/01/2012 17:37,
307,1,16/01/2012 17:37,
307,8,16/01/2012 17:38,
307,6,16/01/2012 17:39,
309,1,16/01/2012 17:40,
309,8,16/01/2012 17:41,
309,6,16/01/2012 17:41,
312,1,16/01/2012 17:42,
312,8,16/01/2012 17:42,
312,6,16/01/2012 17:53,
318,1,16/01/2012 17:54,
318,8,16/01/2012 18:02,
318,6,16/01/2012 18:02,
324,8,16/01/2012 18:06,
324,6,16/01/2012 18:09,
328,1,16/01/2012 18:42,
328,8,16/01/2012 18:45,
328,6,16/01/2012 18:46,
336,1,16/01/2012 19:53,
336,8,16/01/2012 19:55,
336,6,16/01/2012 19:59,
338,1,16/01/2012 20:20,
338,8,16/01/2012 20:21,
338,6,16/01/2012 20:35,
339,1,16/01/2012 20:37,
339,8,16/01/2012 20:37,
339,9,16/01/2012 20:45,
339,6,16/01/2012 20:47,
340,1,16/01/2012 20:52,
340,8,16/01/2012 22:07,
340,9,16/01/2012 22:07,
340,6,16/01/2012 22:09,
344,1,16/01/2012 22:11,
344,8,16/01/2012 22:11,
344,6,16/01/2012 22:31,
356,1,16/01/2012 22:51,
356,8,16/01/2012 22:58,
356,6,16/01/2012 23:05,
357,1,16/01/2012 23:06,
357,8,16/01/2012 23:16,
357,6,16/01/2012 23:23,
362,1,16/01/2012 23:39,
362,8,16/01/2012 23:41,
362,9,16/01/2012 23:56,
362,6,17/01/2012 00:02,
366,1,17/01/2012 00:04,
366,8,17/01/2012 00:11,
366,6,17/01/2012 00:22,
371,1,17/01/2012 00:39,
371,8,17/01/2012 00:54,
371,6,17/01/2012 00:54,
372,1,17/01/2012 01:03,
372,8,17/01/2012 01:16,
372,6,17/01/2012 01:17,
381,1,17/01/2012 01:37,
381,8,17/01/2012 01:37,
381,6,17/01/2012 01:49,
392,1,17/01/2012 01:54,
392,6,17/01/2012 17:42,
392,6,17/01/2012 18:06,
394,1,17/01/2012 18:46,
394,8,17/01/2012 19:24,
394,6,17/01/2012 20:12,
397,1,17/01/2012 20:13,
397,8,17/01/2012 20:39,
397,6,17/01/2012 20:39,
398,1,17/01/2012 20:47,
398,8,17/01/2012 20:49,
398,9,17/01/2012 20:55,
398,6,17/01/2012 20:59,
403,1,17/01/2012 21:01,
403,8,17/01/2012 22:43,
403,6,17/01/2012 23:12,
405,1,17/01/2012 23:20,
405,8,17/01/2012 23:26,
405,6,17/01/2012 23:26,
405,8,17/01/2012 23:27,
405,6,17/01/2012 23:28,
415,1,17/01/2012 23:31,
415,8,17/01/2012 23:40,
415,6,17/01/2012 23:49,
415,6,18/01/2012 00:46,
417,1,18/01/2012 01:04,
417,8,18/01/2012 17:04,
417,9,18/01/2012 17:08,
417,6,18/01/2012 17:12,
418,1,18/01/2012 17:15,
418,8,18/01/2012 17:17,
418,6,18/01/2012 17:21,
424,1,18/01/2012 18:01,
424,8,18/01/2012 18:31,
424,6,18/01/2012 18:39,
424,6,18/01/2012 18:42,
425,1,18/01/2012 18:45,
425,8,18/01/2012 18:46,
425,9,18/01/2012 19:11,
425,6,18/01/2012 19:12,
431,1,18/01/2012 19:12,
431,8,18/01/2012 19:23,
431,6,18/01/2012 19:24,
434,1,18/01/2012 19:25,
434,8,18/01/2012 19:28,
434,6,18/01/2012 19:29,
436,1,18/01/2012 20:23,
436,8,18/01/2012 20:26,
436,6,18/01/2012 20:27,
436,6,18/01/2012 20:32,
439,1,18/01/2012 20:43,
439,8,18/01/2012 20:43,
439,6,18/01/2012 21:10,
444,1,18/01/2012 22:32,
444,8,18/01/2012 22:40,
444,6,18/01/2012 22:46,
448,1,18/01/2012 22:46,
448,8,18/01/2012 22:49,
448,9,18/01/2012 22:49,
448,6,18/01/2012 22:50,
453,1,18/01/2012 23:12,
453,8,18/01/2012 23:14,
453,6,18/01/2012 23:20,
453,6,18/01/2012 23:35,
458,1,18/01/2012 23:35,
458,8,18/01/2012 23:52,
458,6,18/01/2012 23:56,
461,1,19/01/2012 00:01,
461,8,19/01/2012 00:03,
461,9,19/01/2012 00:04,
461,6,19/01/2012 00:13,
462,1,19/01/2012 00:15,
462,8,19/01/2012 00:15,
462,4,19/01/2012 00:29,
462,6,19/01/2012 00:35,
466,1,19/01/2012 00:35,
466,8,19/01/2012 01:03,
466,6,19/01/2012 01:04,
472,1,19/01/2012 01:14,
472,8,19/01/2012 01:21,
472,6,19/01/2012 01:24,
477,1,19/01/2012 17:02,
477,8,19/01/2012 17:06,
477,6,19/01/2012 17:11,
478,1,19/01/2012 18:23,
478,1,19/01/2012 18:59,
478,8,19/01/2012 19:05,
478,9,19/01/2012 19:39,
478,6,19/01/2012 20:18,
479,1,19/01/2012 20:18,
479,6,19/01/2012 20:19,
482,1,19/01/2012 20:30,
482,6,19/01/2012 22:21,
482,6,19/01/2012 22:34,
483,1,20/01/2012 00:15,
483,8,20/01/2012 01:15,
483,6,20/01/2012 01:16,
491,1,20/01/2012 01:49,
491,8,20/01/2012 01:50,
491,9,20/01/2012 02:02,
491,6,20/01/2012 02:02,
492,1,20/01/2012 02:04,
492,8,20/01/2012 17:17,
492,6,20/01/2012 17:18,
495,1,20/01/2012 17:22,
495,8,20/01/2012 18:10,
495,6,20/01/2012 18:24,
497,1,20/01/2012 18:25,
497,8,20/01/2012 18:47,
497,6,20/01/2012 20:08,
498,1,20/01/2012 20:18,
498,8,20/01/2012 20:18,
498,6,20/01/2012 20:34,
498,6,20/01/2012 20:34,
501,1,20/01/2012 20:37,
501,1,20/01/2012 20:58,
501,8,20/01/2012 22:59,
501,6,20/01/2012 23:06,
502,1,20/01/2012 23:06,
502,8,20/01/2012 23:07,
502,6,20/01/2012 23:08,
503,1,20/01/2012 23:25,
503,8,20/01/2012 23:26,
503,2,20/01/2012 23:47,
505,6,23/01/2012 17:06,
508,1,23/01/2012 17:18,
508,8,23/01/2012 17:34,
508,9,23/01/2012 17:40,
508,6,23/01/2012 18:23,
510,1,23/01/2012 18:23,
510,8,23/01/2012 19:22,
510,9,23/01/2012 19:22,
510,6,23/01/2012 19:24,
511,1,23/01/2012 19:34,
511,8,23/01/2012 19:59,
511,6,23/01/2012 20:15,
520,1,23/01/2012 20:31,
520,8,23/01/2012 20:43,
520,6,23/01/2012 20:43,
520,6,23/01/2012 20:46,
521,1,23/01/2012 20:59,
521,8,23/01/2012 22:10,
521,6,23/01/2012 22:29,
526,1,23/01/2012 22:32,
526,8,23/01/2012 22:42,
526,9,23/01/2012 22:43,
526,6,23/01/2012 22:54,
528,1,24/01/2012 00:00,
528,8,24/01/2012 00:13,
528,6,24/01/2012 00:26,
533,1,24/01/2012 00:27,
533,8,24/01/2012 00:29,
533,6,24/01/2012 01:00,
537,1,24/01/2012 01:08,
537,8,24/01/2012 01:42,
537,9,24/01/2012 01:42,
537,6,24/01/2012 01:48,
538,1,24/01/2012 01:49,
538,8,24/01/2012 17:16,
538,6,24/01/2012 17:17,
541,1,24/01/2012 18:27,
541,8,24/01/2012 19:31,
541,6,24/01/2012 20:25,
544,1,24/01/2012 20:25,
544,8,24/01/2012 22:07,
544,6,24/01/2012 22:27,
545,1,24/01/2012 22:40,
545,8,24/01/2012 22:51,
545,6,24/01/2012 22:51,
549,1,24/01/2012 23:19,
549,8,25/01/2012 00:06,
549,6,25/01/2012 00:59,
551,1,25/01/2012 01:01,
551,8,25/01/2012 01:45,
551,9,25/01/2012 16:58,
551,6,25/01/2012 17:03,
552,1,25/01/2012 17:22,
552,8,25/01/2012 17:23,
552,6,25/01/2012 17:31,
556,1,25/01/2012 17:39,
556,6,25/01/2012 17:39,
561,1,25/01/2012 18:28,
561,8,25/01/2012 19:23,
561,6,25/01/2012 19:52,
565,1,25/01/2012 19:56,
565,8,25/01/2012 19:56,
565,9,25/01/2012 19:58,
565,6,25/01/2012 20:18,
570,1,25/01/2012 20:46,
570,8,25/01/2012 22:57,
570,6,25/01/2012 23:18,
573,1,25/01/2012 23:18,
573,8,25/01/2012 23:19,
573,9,25/01/2012 23:44,
573,6,26/01/2012 00:31,
581,1,26/01/2012 00:31,
581,8,26/01/2012 00:44,
581,9,26/01/2012 01:05,
581,6,26/01/2012 01:22,
583,1,26/01/2012 01:43,
583,8,26/01/2012 17:48,
583,6,26/01/2012 17:48,
586,1,26/01/2012 18:41,
586,8,26/01/2012 19:23,
586,6,26/01/2012 19:25,
589,1,26/01/2012 19:51,
589,8,26/01/2012 19:51,
589,6,26/01/2012 19:58,
592,8,26/01/2012 20:12,
592,6,26/01/2012 20:20,
596,1,26/01/2012 20:56,
596,8,26/01/2012 20:58,
596,6,26/01/2012 22:07,
600,1,26/01/2012 22:16,
600,8,26/01/2012 22:20,
600,6,26/01/2012 22:21,
602,1,26/01/2012 23:29,
602,8,26/01/2012 23:29,
602,9,26/01/2012 23:37,
602,6,27/01/2012 01:07,
613,1,27/01/2012 01:15,
613,8,27/01/2012 01:27,
613,6,27/01/2012 01:30,
614,1,27/01/2012 01:35,
614,8,27/01/2012 01:36,
614,6,27/01/2012 01:45,
621,1,27/01/2012 01:53,
621,8,27/01/2012 02:13,
621,6,27/01/2012 17:03,
622,1,27/01/2012 17:27,
622,8,27/01/2012 17:35,
622,2,27/01/2012 18:20,
622,6,27/01/2012 18:24,
627,1,27/01/2012 19:14,
627,8,27/01/2012 19:16,
627,6,27/01/2012 19:22,
633,1,27/01/2012 19:22,
633,8,27/01/2012 19:26,
633,6,27/01/2012 21:16,
634,1,27/01/2012 22:15,
634,8,27/01/2012 22:45,
634,6,27/01/2012 23:06,
641,8,27/01/2012 23:20,
650,1,30/01/2012 17:04,
650,8,30/01/2012 17:05,
650,6,30/01/2012 17:29,
652,1,30/01/2012 18:02,
652,8,30/01/2012 18:09,
652,6,30/01/2012 18:09,
653,1,30/01/2012 18:22,
653,1,30/01/2012 18:28,
653,6,30/01/2012 18:31,
654,1,30/01/2012 20:18,
654,8,30/01/2012 20:18,
654,6,30/01/2012 21:03,
657,1,30/01/2012 21:03,
657,8,30/01/2012 22:19,
657,6,30/01/2012 22:23,
660,1,30/01/2012 22:58,
660,8,30/01/2012 23:16,
660,9,31/01/2012 00:40,
660,8,31/01/2012 01:03,
660,6,31/01/2012 17:12,
669,1,31/01/2012 17:32,
669,8,31/01/2012 17:44,
669,6,31/01/2012 17:52,
670,1,31/01/2012 18:02,
670,8,31/01/2012 18:03,
670,6,31/01/2012 18:34,
674,1,31/01/2012 20:29,
674,8,31/01/2012 22:39,
674,9,31/01/2012 23:16,
674,8,01/02/2012 00:04,
674,6,01/02/2012 00:04,
680,1,01/02/2012 00:58,
680,8,01/02/2012 01:59,
680,6,01/02/2012 02:01,
681,1,01/02/2012 02:03,
681,8,01/02/2012 02:04,
681,6,01/02/2012 17:30,
682,1,01/02/2012 20:15,
682,8,01/02/2012 20:28,
682,6,01/02/2012 20:36,
683,1,01/02/2012 20:39,
683,8,01/02/2012 20:57,
683,6,01/02/2012 20:57,
684,1,01/02/2012 22:17,
684,8,01/02/2012 22:22,
684,6,01/02/2012 23:51,
686,1,02/02/2012 00:22,
686,8,02/02/2012 01:19,
686,6,02/02/2012 01:19,
693,1,02/02/2012 18:45,
693,8,02/02/2012 20:01,
693,6,02/02/2012 22:43,
695,1,02/02/2012 23:28,
695,8,02/02/2012 23:28,
695,9,03/02/2012 00:06,
695,8,03/02/2012 00:06,
695,6,03/02/2012 00:33,
698,1,03/02/2012 00:35,
698,8,03/02/2012 00:57,
698,6,03/02/2012 17:24,
698,6,03/02/2012 17:29,
700,1,03/02/2012 17:38,
700,6,03/02/2012 17:38,
700,6,03/02/2012 18:48,
704,1,03/02/2012 18:48,
704,8,03/02/2012 19:48,
704,6,03/02/2012 19:50,
705,1,03/02/2012 19:54,
705,6,03/02/2012 20:21,
706,1,03/02/2012 20:25,
706,8,03/02/2012 20:50,
706,6,03/02/2012 20:51,
716,1,03/02/2012 22:29,
716,6,06/02/2012 17:29,
717,1,06/02/2012 17:29,
717,8,06/02/2012 17:36,
717,6,06/02/2012 17:45,
721,1,06/02/2012 17:49,
721,8,06/02/2012 17:57,
721,6,06/02/2012 17:57,
722,1,06/02/2012 18:17,
722,8,06/02/2012 18:20,
722,6,06/02/2012 18:53,
731,1,06/02/2012 19:05,
731,8,06/02/2012 19:56,
731,8,06/02/2012 22:24,
731,6,06/02/2012 22:59,
733,1,06/02/2012 23:00,
733,8,06/02/2012 23:53,
733,6,07/02/2012 00:06,
736,1,07/02/2012 00:16,
736,8,07/02/2012 00:21,
736,6,07/02/2012 00:30,
738,1,07/02/2012 01:00,
738,1,07/02/2012 01:01,
738,8,07/02/2012 01:42,
738,6,07/02/2012 17:15,
741,1,07/02/2012 18:31,
741,8,07/02/2012 19:01,
741,6,07/02/2012 19:27,
743,1,07/02/2012 19:39,
743,8,07/02/2012 19:39,
743,6,07/02/2012 20:04,
743,6,07/02/2012 20:13,
745,1,07/02/2012 20:20,
745,8,07/02/2012 20:20,
745,6,07/02/2012 20:54,
746,1,07/02/2012 22:29,
746,8,07/02/2012 22:31,
746,6,08/02/2012 00:06,
749,1,08/02/2012 00:22,
749,8,08/02/2012 00:28,
749,9,08/02/2012 01:27,
749,6,08/02/2012 01:27,
749,6,08/02/2012 17:10,
752,1,08/02/2012 17:45,
752,8,08/02/2012 17:46,
752,6,08/02/2012 17:50,
755,1,08/02/2012 17:58,
755,8,08/02/2012 18:00,
755,6,08/02/2012 18:04,
756,1,08/02/2012 18:04,
756,8,08/02/2012 18:47,
756,6,08/02/2012 18:55,
760,1,08/02/2012 19:57,
760,8,08/02/2012 19:58,
760,6,08/02/2012 20:25,
766,1,08/02/2012 20:25,
766,8,08/02/2012 20:28,
766,6,08/02/2012 22:07,
767,1,08/02/2012 22:15,
767,8,08/02/2012 22:34,
767,6,08/02/2012 22:34,
768,1,08/02/2012 22:35,
768,8,08/02/2012 22:52,
768,8,08/02/2012 23:10,
768,9,08/02/2012 23:22,
768,6,08/02/2012 23:25,
769,1,08/02/2012 23:50,
769,8,08/02/2012 23:55,
769,6,09/02/2012 00:06,
770,1,09/02/2012 00:20,
770,8,09/02/2012 00:27,
770,9,09/02/2012 00:35,
770,6,09/02/2012 00:37,
772,1,09/02/2012 01:01,
772,8,09/02/2012 01:18,
772,6,09/02/2012 01:24,
773,1,09/02/2012 02:00,
773,8,09/02/2012 02:02,
773,6,09/02/2012 17:12,
776,1,09/02/2012 17:14,
776,8,09/02/2012 17:15,
776,6,09/02/2012 17:21,
777,1,09/02/2012 17:39,
777,1,09/02/2012 17:39,
777,6,09/02/2012 18:10,
783,1,09/02/2012 19:04,
783,8,09/02/2012 19:12,
783,6,09/02/2012 20:44,
785,1,09/02/2012 20:44,
785,8,09/02/2012 21:02,
785,6,09/02/2012 22:16,
787,1,09/02/2012 22:16,
787,8,09/02/2012 22:28,
787,6,09/02/2012 23:14,
788,1,09/02/2012 23:15,
788,8,10/02/2012 00:34,
788,9,10/02/2012 00:35,
788,6,10/02/2012 01:05,
790,1,10/02/2012 01:07,
790,8,10/02/2012 01:19,
790,9,10/02/2012 01:30,
790,6,10/02/2012 01:30,
794,1,10/02/2012 01:39,
794,8,10/02/2012 01:39,
794,6,10/02/2012 01:46,
795,1,10/02/2012 01:46,
795,8,10/02/2012 01:54,
795,6,10/02/2012 01:55,
795,6,10/02/2012 02:05,
796,1,10/02/2012 17:17,
796,8,10/02/2012 17:59,
796,9,10/02/2012 17:59,
796,6,10/02/2012 18:51,
799,1,10/02/2012 18:55,
799,8,10/02/2012 19:01,
799,9,10/02/2012 19:20,
799,6,10/02/2012 19:21,
806,1,10/02/2012 19:28,
806,8,10/02/2012 19:54,
806,9,10/02/2012 21:06,
806,6,10/02/2012 23:01,
813,1,10/02/2012 23:18,
813,8,10/02/2012 23:19,
813,6,10/02/2012 23:32,
817,1,10/02/2012 23:33,
817,8,10/02/2012 23:44,
817,9,10/02/2012 23:47,
817,8,10/02/2012 23:47,
817,9,10/02/2012 23:52,
834,1,13/02/2012 17:07,
834,8,13/02/2012 17:08,
834,6,13/02/2012 17:38,
836,1,13/02/2012 17:39,
836,8,13/02/2012 17:59,
836,2,13/02/2012 18:00,
836,5,13/02/2012 18:15,
836,5,13/02/2012 18:19,
836,6,13/02/2012 18:45,
840,1,13/02/2012 18:45,
840,8,13/02/2012 18:57,
840,6,13/02/2012 19:11,
844,1,13/02/2012 19:23,
844,8,13/02/2012 20:31,
844,6,13/02/2012 20:32,
853,1,13/02/2012 20:42,
853,8,13/02/2012 23:10,
853,6,14/02/2012 00:04,
857,1,14/02/2012 00:04,
857,8,14/02/2012 00:04,
857,9,14/02/2012 00:11,
857,6,14/02/2012 00:14,
859,1,14/02/2012 00:29,
859,8,14/02/2012 00:30,
859,6,14/02/2012 17:59,
866,1,14/02/2012 19:07,
866,8,14/02/2012 19:21,
866,6,14/02/2012 19:22,
872,1,14/02/2012 19:25,
872,8,14/02/2012 19:29,
872,6,14/02/2012 19:34,
876,1,14/02/2012 20:05,
876,8,14/02/2012 20:20,
876,9,14/02/2012 20:32,
876,6,14/02/2012 20:48,
877,1,14/02/2012 20:48,
877,8,14/02/2012 20:51,
877,9,14/02/2012 20:55,
877,6,14/02/2012 21:00,
880,1,14/02/2012 21:01,
880,8,14/02/2012 21:01,
880,6,14/02/2012 22:24,
882,1,14/02/2012 23:41,
882,8,15/02/2012 00:08,
882,6,15/02/2012 01:28,
883,1,15/02/2012 01:37,
883,8,15/02/2012 01:38,
883,9,15/02/2012 01:45,
883,8,15/02/2012 01:45,
883,9,15/02/2012 18:15,
883,6,15/02/2012 18:18,
883,6,15/02/2012 18:20,
886,1,15/02/2012 18:20,
886,8,15/02/2012 18:30,
886,6,15/02/2012 18:34,
888,1,15/02/2012 18:35,
888,8,15/02/2012 19:07,
888,6,15/02/2012 20:07,
892,1,15/02/2012 20:19,
892,8,15/02/2012 20:25,
892,6,15/02/2012 20:29,
897,1,15/02/2012 20:48,
897,8,15/02/2012 22:06,
897,6,15/02/2012 22:06,
898,1,15/02/2012 23:06,
898,8,15/02/2012 23:22,
898,9,15/02/2012 23:25,
898,6,16/02/2012 01:18,
901,1,16/02/2012 01:40,
901,6,16/02/2012 01:40,
901,6,16/02/2012 01:43,
909,1,16/02/2012 01:43,
909,8,16/02/2012 01:48,
909,6,16/02/2012 18:27,
910,1,16/02/2012 18:27,
910,8,16/02/2012 19:41,
910,6,16/02/2012 19:41,
914,1,16/02/2012 19:45,
914,8,16/02/2012 19:45,
914,6,16/02/2012 19:46,
931,1,16/02/2012 20:19,
931,8,16/02/2012 20:40,
931,6,17/02/2012 01:04,
934,1,17/02/2012 01:13,
934,8,17/02/2012 01:21,
934,6,17/02/2012 01:49,
934,6,17/02/2012 17:02,
937,1,17/02/2012 17:25,
937,8,17/02/2012 17:37,
937,4,17/02/2012 17:38,
937,6,17/02/2012 17:40,
938,1,17/02/2012 17:40,
938,8,17/02/2012 17:50,
938,9,17/02/2012 18:01,
938,6,17/02/2012 18:07,
950,1,17/02/2012 18:23,
950,8,17/02/2012 18:36,
950,6,17/02/2012 18:40,
954,1,17/02/2012 22:09,
954,8,17/02/2012 23:33,
954,6,17/02/2012 23:43,
958,1,17/02/2012 23:45,
958,8,17/02/2012 23:57,
958,8,20/02/2012 17:07,
958,6,20/02/2012 17:07,
962,1,20/02/2012 17:47,
962,8,20/02/2012 18:28,
962,6,20/02/2012 18:29,
967,1,20/02/2012 18:32,
967,8,20/02/2012 19:03,
967,6,20/02/2012 19:26,
968,1,20/02/2012 19:32,
968,8,20/02/2012 19:40,
968,6,20/02/2012 20:45,
970,1,20/02/2012 22:44,
970,8,21/02/2012 01:53,
970,6,21/02/2012 01:53,
972,1,21/02/2012 02:03,
972,8,21/02/2012 17:33,
972,6,21/02/2012 19:40,
975,1,21/02/2012 20:15,
975,8,21/02/2012 20:15,
975,6,21/02/2012 23:56,
975,6,22/02/2012 00:27,
976,1,22/02/2012 00:27,
976,8,22/02/2012 00:27,
976,6,22/02/2012 00:30,
981,1,22/02/2012 00:31,
981,8,22/02/2012 01:04,
981,6,22/02/2012 01:10,
981,6,22/02/2012 01:35,
990,1,22/02/2012 02:00,
990,8,22/02/2012 02:07,
990,6,22/02/2012 17:38,
1009,1,22/02/2012 17:53,
1009,8,22/02/2012 17:57,
1009,9,22/02/2012 18:16,
1009,6,22/02/2012 18:29,
1015,1,22/02/2012 18:29,
1015,8,22/02/2012 18:46,
1015,6,22/02/2012 19:17,
1017,1,22/02/2012 20:12,
1017,8,22/02/2012 20:13,
1017,9,22/02/2012 20:30,
1017,6,22/02/2012 22:01,
1017,6,22/02/2012 22:04,
1020,1,22/02/2012 22:52,
1020,8,22/02/2012 22:53,
1020,9,22/02/2012 23:16,
1020,6,22/02/2012 23:21,
1022,1,22/02/2012 23:33,
1022,1,22/02/2012 23:33,
1022,8,22/02/2012 23:49,
1022,6,22/02/2012 23:49,
