case,activity,time
Case 32,Round Grinding - Machine 2,2012-02-20T07:08:00Z
Case 32,Round Grinding - Machine 2,2012-02-20T14:06:00Z
Case 32,Round Grinding - Machine 2,2012-02-20T16:05:00Z
Case 32,Round Grinding - Machine 2,2012-02-20T18:43:00Z
Case 32,Round Grinding - Machine 2,2012-02-20T21:54:00Z
Case 32,Packing,2012-02-21T00:00:00Z
Case 32,Lapping - Machine 1,2012-02-21T00:00:00Z
Case 32,Round Grinding - Machine 2,2012-02-21T07:18:00Z
Case 32,Lapping - Machine 1,2012-02-21T09:14:00Z
Case 32,Final Inspection Q.C.,2012-02-21T10:00:00Z
Case 32,Round Grinding - Machine 2,2012-02-21T20:04:00Z
Case 32,Final Inspection Q.C.,2012-02-22T06:45:00Z
Case 32,Round Grinding - Machine 2,2012-02-22T07:03:00Z
Case 32,Round Grinding - Machine 2,2012-02-22T08:29:00Z
Case 32,Round Grinding - Machine 2,2012-02-22T15:26:00Z
Case 32,Round Grinding - Machine 2,2012-02-22T16:08:00Z
Case 32,Final Inspection Q.C.,2012-02-23T07:00:00Z
Case 32,Packing,2012-02-24T00:00:00Z
Case 32,Packing,2012-02-24T00:00:00Z
Case 34,Turning & Milling - Machine 10,2012-01-29T09:02:00Z
Case 34,Turning & Milling - Machine 10,2012-01-29T17:59:00Z
Case 34,Turning & Milling - Machine 10,2012-01-29T19:54:00Z
Case 34,Turning & Milling - Machine 10,2012-01-29T23:46:00Z
Case 34,Turning & Milling - Machine 10,2012-01-30T07:02:00Z
Case 34,Turning & Milling Q.C.,2012-01-30T07:04:00Z
Case 34,Laser Marking - Machine 7,2012-02-01T09:20:00Z
Case 34,Lapping - Machine 1,2012-02-01T11:18:00Z
Case 34,Lapping - Machine 1,2012-02-01T11:21:00Z
Case 34,Round Grinding - Machine 12,2012-02-01T11:30:00Z
Case 34,Round Grinding - Machine 12,2012-02-01T14:12:00Z
Case 34,Round Grinding - Machine 12,2012-02-01T16:10:00Z
Case 34,Round Grinding - Machine 12,2012-02-01T17:27:00Z
Case 34,Final Inspection Q.C.,2012-02-02T15:30:00Z
Case 34,Packing,2012-02-05T00:00:00Z
Case 34,Final Inspection Q.C.,2012-02-05T09:00:00Z
Case 34,Round Grinding - Machine 12,2012-02-19T14:38:00Z
Case 34,Round Grinding - Machine 2,2012-02-19T16:00:00Z
Case 34,Round Grinding - Machine 12,2012-02-20T07:11:00Z
Case 34,Final Inspection Q.C.,2012-02-21T11:07:00Z
Case 34,Packing,2012-02-22T00:00:00Z
Case 83,Turning & Milling - Machine 5,2012-03-13T00:00:00Z
Case 83,Turning & Milling - Machine 5,2012-03-20T11:08:00Z
Case 83,Turning & Milling - Machine 5,2012-03-20T22:34:00Z
Case 83,Turning & Milling - Machine 5,2012-03-21T00:13:00Z
Case 83,Turning & Milling - Machine 5,2012-03-21T06:57:00Z
Case 83,Turning & Milling Q.C.,2012-03-21T07:30:00Z
Case 83,Turning & Milling - Machine 5,2012-03-21T10:31:00Z
Case 83,Turning & Milling - Machine 5,2012-03-21T16:00:00Z
Case 83,Turning & Milling Q.C.,2012-03-22T15:00:00Z
Case 83,Lapping - Machine 1,2012-03-25T00:00:00Z
Case 83,Laser Marking - Machine 7,2012-03-25T10:08:00Z
Case 83,Flat Grinding - Machine 11,2012-03-25T11:38:00Z
Case 83,Lapping - Machine 1,2012-03-25T12:54:00Z
Case 83,Flat Grinding - Machine 11,2012-03-25T15:19:00Z
Case 83,Lapping - Machine 1,2012-03-25T15:41:00Z
