case,activity,Resource,time,Complete Timestamp,Span,Work Order  Qty,Part Desc.,Worker ID,Report Type,Qty Completed,Qty Rejected,Qty for MRB,Rework
Case 101,Turning & Milling - Machine 8,Machine 8 - Turning & Milling,14/03/2012 01:06,14/03/2012 06:28,005:22,27,Housing,ID4794,D,17,0,0,
Case 101,Turning & Milling - Machine 8,Machine 8 - Turning & Milling,14/03/2012 07:02,14/03/2012 07:48,000:46,27,Housing,ID0997,D,3,0,0,
Case 101,Turning & Milling - Machine 8,Machine 8 - Turning & Milling,14/03/2012 07:49,14/03/2012 11:10,003:21,27,Housing,ID0997,S,0,0,0,
Case 101,Turning & Milling - Machine 8,Machine 8 - Turning & Milling,14/03/2012 11:11,14/03/2012 13:30,002:19,27,Housing,ID0997,D,27,0,0,
Case 101,Turning & Milling Q.C.,Quality Check 1,14/03/2012 13:33,14/03/2012 14:48,000:00,27,Housing,ID4618,D,27,0,0,
Case 101,Flat Grinding - Machine 11,Machine 11 - Grinding,15/03/2012 09:55,15/03/2012 10:55,001:00,27,Housing,ID0998,D,27,0,0,
Case 101,Lapping - Machine 1,Machine 1 - Lapping,23/03/2012 11:00,23/03/2012 12:40,001:40,27,Housing,ID0998,D,21,0,0,
Case 101,Round Grinding - Machine 12,Machine 12 - Grinding,24/03/2012 22:15,24/03/2012 23:45,001:30,27,Housing,ID4528,S,0,0,0,
Case 101,Round Grinding - Machine 12,Machine 12 - Grinding,24/03/2012 23:45,25/03/2012 06:45,007:00,27,Housing,ID4528,D,17,0,0,
Case 101,Final Inspection Q.C.,Quality Check 1,25/03/2012 06:50,25/03/2012 11:31,004:41,27,Housing,ID4618,D,17,0,0,
Case 101,Lapping - Machine 1,Machine 1 - Lapping,25/03/2012 10:00,25/03/2012 11:00,001:00,27,Housing,ID0998,D,6,0,0,
Case 101,Laser Marking - Machine 7,Machine 7- Laser Marking,25/03/2012 11:15,25/03/2012 11:29,000:14,27,Housing,ID0998,D,17,0,0,
Case 101,Packing,Packing,26/03/2012 00:00,26/03/2012 01:00,000:00,27,Housing,ID4820,D,17,0,0,
Case 102,Turning & Milling - Machine 8,Machine 8 - Turning & Milling,27/02/2012 16:40,27/02/2012 21:09,004:29,24,Spur Gear,ID4219,S,0,0,0,
Case 102,Turning & Milling - Machine 8,Machine 8 - Turning & Milling,27/02/2012 21:46,28/02/2012 01:23,003:37,24,Spur Gear,ID4219,S,0,0,0,
Case 102,Turning & Milling - Machine 8,Machine 8 - Turning & Milling,28/02/2012 11:00,28/02/2012 13:26,002:26,24,Spur Gear,ID0997,S,0,0,0,
Case 102,Turning & Milling - Machine 8,Machine 8 - Turning & Milling,28/02/2012 14:20,28/02/2012 16:12,001:52,24,Spur Gear,ID0997,S,0,0,0,
Case 102,Turning & Milling Q.C.,Quality Check 1,28/02/2012 14:35,28/02/2012 15:25,000:50,24,Spur Gear,ID4287,D,0,0,0,
Case 102,Turning & Milling - Machine 8,Machine 8 - Turning & Milling,28/02/2012 16:12,28/02/2012 17:56,001:44,24,Spur Gear,ID0997,D,3,0,0,
Case 102,Turning & Milling - Machine 8,Machine 8 - Turning & Milling,28/02/2012 21:28,29/02/2012 01:29,004:01,24,Spur Gear,ID4219,D,9,0,0,
Case 102,Turning & Milling - Machine 8,Machine 8 - Turning & Milling,29/02/2012 01:30,29/02/2012 04:31,003:01,24,Spur Gear,ID4794,D,7,0,0,
Case 102,Turning & Milling - Machine 8,Machine 8 - Turning & Milling,29/02/2012 07:32,29/02/2012 11:05,003:33,24,Spur Gear,ID0997,D,5,0,0,
Case 102,Turning & Milling - Machine 8,Machine 8 - Turning & Milling,29/02/2012 11:05,29/02/2012 16:00,004:55,24,Spur Gear,ID0997,S,1,0,0,
Case 102,Turning & Milling Q.C.,Quality Check 1,29/02/2012 15:00,29/02/2012 16:00,001:00,24,Spur Gear,ID4287,D,24,0,0,
Case 102,Turning & Milling - Machine 8,Machine 8 - Turning & Milling,29/02/2012 16:00,29/02/2012 17:20,001:20,24,Spur Gear,ID0997,S,0,0,0,
Case 102,Turning & Milling Q.C.,Quality Check 1,29/02/2012 16:04,29/02/2012 16:36,000:32,24,Spur Gear,ID4287,D,0,0,0,
Case 102,Turning & Milling - Machine 8,Machine 8 - Turning & Milling,29/02/2012 17:19,29/02/2012 17:48,000:29,24,Spur Gear,ID0997,D,8,0,0,
Case 102,Turning & Milling - Machine 8,Machine 8 - Turning & Milling,29/02/2012 22:27,01/03/2012 00:11,001:44,24,Spur Gear,ID4219,D,15,0,0,
Case 102,Turning & Milling Q.C.,Quality Check 1,01/03/2012 09:30,01/03/2012 10:49,001:19,24,Spur Gear,ID4287,D,0,1,0,
Case 102,Turning & Milling Q.C.,Quality Check 1,06/03/2012 00:00,06/03/2012 01:15,000:00,24,Spur Gear,ID4287,D,23,0,0,
Case 102,Laser Marking - Machine 7,Machine 7- Laser Marking,08/03/2012 13:32,08/03/2012 14:41,001:09,24,Spur Gear,ID0998,D,23,0,0,
Case 102,Lapping - Machine 1,Machine 1 - Lapping,09/03/2012 00:00,09/03/2012 01:15,000:00,24,Spur Gear,ID4882,D,0,0,0,
Case 102,Lapping - Machine 1,Machine 1 - Lapping,11/03/2012 09:38,11/03/2012 11:04,001:26,24,Spur Gear,ID0998,D,23,0,0,
Case 102,Round Grinding - Manual,Machine 27 - Grinding,11/03/2012 19:25,11/03/2012 20:00,000:35,24,Spur Gear,ID4528,S,0,0,0,
Case 102,Round Grinding - Manual,Machine 27 - Grinding,11/03/2012 20:00,11/03/2012 23:40,003:40,24,Spur Gear,ID4528,D,23,0,0,
Case 102,Round Grinding - Machine 3,Machine 3 - Round Grinding,12/03/2012 07:03,12/03/2012 08:09,001:06,24,Spur Gear,ID4445,S,0,0,0,
Case 102,Round Grinding - Q.C.,Quality Check 1,12/03/2012 07:50,12/03/2012 08:09,000:19,24,Spur Gear,ID4287,D,5,0,0,
Case 102,Round Grinding - Machine 3,Machine 3 - Round Grinding,12/03/2012 08:02,12/03/2012 08:04,000:02,24,Spur Gear,ID4445,S,0,0,0,
Case 102,Round Grinding - Machine 3,Machine 3 - Round Grinding,12/03/2012 08:10,12/03/2012 10:58,002:48,24,Spur Gear,ID4445,D,23,0,0,
Case 102,Round Grinding - Q.C.,Quality Check 1,12/03/2012 10:00,12/03/2012 10:57,000:57,24,Spur Gear,ID4287,D,18,0,0,
Case 102,Final Inspection Q.C.,Quality Check 1,12/03/2012 14:00,12/03/2012 17:00,003:00,24,Spur Gear,ID4287,D,0,0,0,
Case 102,Final Inspection Q.C.,Quality Check 1,13/03/2012 08:00,13/03/2012 08:06,000:06,24,Spur Gear,ID4287,D,23,0,0,
Case 102,Packing,Packing,14/03/2012 00:00,14/03/2012 01:00,000:00,24,Spur Gear,ID4820,D,23,0,0,
Case 103,Turning & Milling - Machine 8,Machine 8 - Turning & Milling,06/03/2012 09:10,06/03/2012 10:18,001:08,52,Adjusting Nut,ID4219,B,0,0,0,
Case 103,Turning & Milling - Machine 8,Machine 8 - Turning & Milling,08/03/2012 04:19,08/03/2012 06:51,002:32,52,Adjusting Nut,ID0997,S,0,0,0,
Case 103,Turning & Milling - Machine 8,Machine 8 - Turning & Milling,08/03/2012 10:04,08/03/2012 16:38,006:34,52,Adjusting Nut,ID4219,S,0,0,0,
Case 103,Turning & Milling - Machine 8,Machine 8 - Turning & Milling,08/03/2012 20:24,09/03/2012 04:35,008:11,52,Adjusting Nut,ID0997,S,0,0,0,
Case 103,Turning & Milling - Machine 8,Machine 8 - Turning & Milling,09/03/2012 04:35,09/03/2012 07:27,002:52,52,Adjusting Nut,ID0997,D,14,0,0,
Case 103,Turning & Milling Q.C.,Quality Check 1,09/03/2012 07:32,09/03/2012 10:38,002:55,52,Adjusting Nut,ID4618,D,0,0,0,
Case 103,Turning & Milling - Machine 8,Machine 8 - Turning & Milling,09/03/2012 07:32,09/03/2012 10:27,003:06,52,Adjusting Nut,ID4219,D,8,0,0,
Case 103,Turning & Milling Q.C.,Quality Check 1,11/03/2012 07:42,11/03/2012 08:16,000:34,52,Adjusting Nut,ID4618,D,0,0,0,
Case 103,Turning & Milling - Machine 8,Machine 8 - Turning & Milling,11/03/2012 09:03,11/03/2012 10:37,001:34,52,Adjusting Nut,ID0997,D,0,0,0,
Case 103,Turning & Milling - Machine 8,Machine 8 - Turning & Milling,11/03/2012 10:37,11/03/2012 11:48,001:11,52,Adjusting Nut,ID0997,S,0,0,0,
Case 103,Turning & Milling - Machine 8,Machine 8 - Turning & Milling,11/03/2012 11:49,11/03/2012 16:09,004:20,52,Adjusting Nut,ID0997,D,25,0,0,
Case 103,Turning & Milling - Machine 8,Machine 8 - Turning & Milling,11/03/2012 16:35,11/03/2012 18:35,002:00,52,Adjusting Nut,ID4219,D,5,0,0,
Case 103,Turning & Milling Q.C.,Quality Check 1,12/03/2012 08:27,12/03/2012 08:28,000:01,52,Adjusting Nut,ID4618,D,50,2,0,
Case 103,Laser Marking - Machine 7,Machine 7- Laser Marking,13/03/2012 09:54,13/03/2012 10:46,000:52,52,Adjusting Nut,ID4355,D,50,0,0,
Case 103,Flat Grinding - Machine 11,Machine 11 - Grinding,13/03/2012 13:27,13/03/2012 14:04,000:37,52,Adjusting Nut,ID0998,D,50,0,0,
Case 103,Final Inspection Q.C.,Quality Check 1,13/03/2012 14:07,13/03/2012 17:57,003:50,52,Adjusting Nut,ID4618,D,0,0,0,
Case 103,Final Inspection Q.C.,Quality Check 1,14/03/2012 06:58,14/03/2012 10:35,003:37,52,Adjusting Nut,ID4618,D,0,0,0,
Case 103,Final Inspection Q.C.,Quality Check 1,14/03/2012 12:03,14/03/2012 12:04,000:01,52,Adjusting Nut,ID4618,D,50,0,0,
Case 103,Packing,Packing,15/03/2012 00:00,15/03/2012 01:00,000:00,52,Adjusting Nut,ID4820,D,50,0,0,
Case 104,Turning & Milling - Machine 5,Machine 5 - Turning & Milling,19/03/2012 20:43,20/03/2012 02:26,005:43,33,Cable Head,ID4529,S,1,0,0,
Case 104,Turning & Milling - Machine 5,Machine 5 - Turning & Milling,20/03/2012 02:27,20/03/2012 06:41,004:14,33,Cable Head,ID4529,D,19,0,0,
Case 104,Turning & Milling - Machine 5,Machine 5 - Turning & Milling,20/03/2012 07:00,20/03/2012 11:07,004:07,33,Cable Head,ID4429,D,13,0,0,
Case 104,Turning & Milling Q.C.,Quality Check 1,20/03/2012 09:54,20/03/2012 11:54,002:00,33,Cable Head,ID4493,D,0,0,0,
Case 104,Turning & Milling Q.C.,Quality Check 1,21/03/2012 06:55,21/03/2012 07:41,000:46,33,Cable Head,ID4493,D,33,0,0,
Case 104,Laser Marking - Machine 7,Machine 7- Laser Marking,21/03/2012 09:21,21/03/2012 09:49,000:28,33,Cable Head,ID4718,D,33,0,0,
Case 105,Turning & Milling - Machine 4,Machine 4 - Turning & Milling,20/03/2012 23:18,21/03/2012 06:34,007:16,15,Bearing,ID4167,S,0,0,0,
Case 105,Turning & Milling - Machine 4,Machine 4 - Turning & Milling,21/03/2012 07:18,21/03/2012 10:31,003:13,15,Bearing,ID4932,D,15,0,0,
Case 106,Turning & Milling - Machine 8,Machine 8 - Turning & Milling,15/03/2012 10:14,15/03/2012 15:44,005:30,39,Ballnut,ID0997,S,0,0,0,
Case 106,Turning & Milling - Machine 8,Machine 8 - Turning & Milling,15/03/2012 16:55,15/03/2012 20:38,003:43,39,Ballnut,ID4219,D,39,0,0,
Case 106,Turning & Milling Q.C.,Quality Check 1,19/03/2012 07:00,19/03/2012 07:28,000:28,39,Ballnut,ID4618,D,39,0,0,
Case 106,Laser Marking - Machine 7,Machine 7- Laser Marking,19/03/2012 09:38,19/03/2012 10:51,001:13,39,Ballnut,ID0998,D,39,0,0,
Case 106,Flat Grinding - Machine 11,Machine 11 - Grinding,19/03/2012 14:42,19/03/2012 15:20,000:38,39,Ballnut,ID4882,D,39,0,0,
Case 106,Final Inspection Q.C.,Quality Check 1,21/03/2012 15:27,21/03/2012 17:57,002:30,39,Ballnut,ID4618,D,0,0,0,
Case 106,Packing,Packing,22/03/2012 00:00,22/03/2012 01:00,000:00,39,Ballnut,ID4820,D,39,0,0,
Case 106,Final Inspection Q.C.,Quality Check 1,22/03/2012 11:50,22/03/2012 13:05,000:00,39,Ballnut,ID4618,D,39,0,0,
Case 107,Turning & Milling - Machine 10,Machine 10 - Grinding,30/03/2012 06:36,30/03/2012 11:47,005:11,20,Cable Head,ID4132,S,1,0,0,
Case 108,Turning & Milling - Machine 4,Machine 4 - Turning & Milling,27/02/2012 01:18,27/02/2012 06:55,005:37,15,Bushing,ID4794,S,1,0,0,
Case 108,Turning & Milling - Machine 4,Machine 4 - Turning & Milling,27/02/2012 06:59,27/02/2012 09:13,002:14,15,Bushing,ID4529,S,1,0,0,
Case 108,Turning & Milling Q.C.,Quality Check 1,27/02/2012 07:00,27/02/2012 08:40,001:40,15,Bushing,ID4287,D,0,0,0,
Case 108,Turning & Milling - Machine 4,Machine 4 - Turning & Milling,27/02/2012 09:13,27/02/2012 12:38,003:25,15,Bushing,ID4529,D,13,0,0,
Case 108,Turning & Milling Q.C.,Quality Check 1,28/02/2012 13:20,28/02/2012 14:24,001:04,15,Bushing,ID4287,D,14,1,0,
Case 108,Laser Marking - Machine 7,Machine 7- Laser Marking,28/02/2012 17:52,28/02/2012 19:07,000:00,15,Bushing,ID0998,D,14,0,0,
Case 108,Flat Grinding - Machine 11,Machine 11 - Grinding,29/02/2012 00:00,29/02/2012 01:15,000:00,15,Bushing,ID4528,D,0,0,0,
Case 108,Flat Grinding - Machine 11,Machine 11 - Grinding,29/02/2012 22:05,29/02/2012 23:04,000:59,15,Bushing,ID0420,D,14,0,0,
Case 108,Lapping - Machine 1,Machine 1 - Lapping,01/03/2012 02:35,01/03/2012 03:50,000:00,15,Bushing,ID0420,D,0,0,0,
Case 108,Lapping - Machine 1,Machine 1 - Lapping,01/03/2012 02:36,01/03/2012 03:28,000:52,15,Bushing,ID0420,D,14,0,0,
Case 108,Round Grinding - Machine 3,Machine 3 - Round Grinding,07/03/2012 08:30,07/03/2012 11:16,002:46,15,Bushing,ID4385,S,0,0,0,
Case 108,Round Grinding - Machine 3,Machine 3 - Round Grinding,07/03/2012 11:18,07/03/2012 14:10,002:52,15,Bushing,ID4385,D,5,0,0,
Case 108,Round Grinding - Machine 3,Machine 3 - Round Grinding,07/03/2012 14:12,07/03/2012 15:56,001:44,15,Bushing,ID0420,D,4,0,0,
Case 108,Round Grinding - Machine 3,Machine 3 - Round Grinding,07/03/2012 15:57,07/03/2012 19:30,003:33,15,Bushing,ID4872,D,5,0,0,
Case 108,Final Inspection Q.C.,Quality Check 1,08/03/2012 11:00,08/03/2012 15:52,004:52,15,Bushing,ID4287,D,0,0,0,
Case 108,Packing,Packing,09/03/2012 00:00,09/03/2012 01:00,000:00,15,Bushing,ID4820,D,14,0,0,
Case 108,Final Inspection Q.C.,Quality Check 1,09/03/2012 09:00,09/03/2012 09:27,000:27,15,Bushing,ID4287,D,14,0,0,
Case 109,Turning & Milling - Machine 4,Machine 4 - Turning & Milling,04/03/2012 11:14,04/03/2012 18:01,006:47,50,Electrical Contact,ID4932,S,0,0,0,
Case 109,Turning & Milling - Machine 4,Machine 4 - Turning & Milling,04/03/2012 17:52,04/03/2012 23:53,006:01,50,Electrical Contact,ID4167,S,2,0,0,
Case 109,Turning & Milling Q.C.,Quality Check 1,05/03/2012 00:00,05/03/2012 01:15,000:00,50,Electrical Contact,ID4618,D,49,0,0,
Case 109,Turning & Milling - Machine 4,Machine 4 - Turning & Milling,05/03/2012 00:03,05/03/2012 01:08,001:05,50,Electrical Contact,ID4529,S,1,0,0,
Case 109,Turning & Milling - Machine 4,Machine 4 - Turning & Milling,05/03/2012 01:09,05/03/2012 06:43,005:34,50,Electrical Contact,ID4529,D,31,0,0,
Case 109,Turning & Milling - Machine 4,Machine 4 - Turning & Milling,05/03/2012 06:49,05/03/2012 09:41,002:52,50,Electrical Contact,ID4932,D,16,0,0,
Case 109,Turning & Milling Q.C.,Quality Check 1,05/03/2012 07:00,05/03/2012 08:21,001:21,50,Electrical Contact,ID4618,D,0,0,0,
Case 109,Turning & Milling Q.C.,Quality Check 1,05/03/2012 10:18,05/03/2012 10:23,000:05,50,Electrical Contact,ID4618,D,0,1,0,
Case 109,Laser Marking - Machine 7,Machine 7- Laser Marking,15/03/2012 11:05,15/03/2012 11:26,000:21,50,Electrical Contact,ID0998,D,49,0,0,
Case 109,Round Grinding - Machine 2,Machine 2 - Round Grinding,21/03/2012 05:03,21/03/2012 06:22,001:19,50,Electrical Contact,ID4355,S,1,0,0,
Case 109,Round Grinding - Machine 2,Machine 2 - Round Grinding,21/03/2012 06:23,21/03/2012 06:49,000:26,50,Electrical Contact,ID4355,D,3,0,0,
Case 109,Round Grinding - Machine 2,Machine 2 - Round Grinding,21/03/2012 07:34,21/03/2012 12:08,004:34,50,Electrical Contact,ID4385,D,45,0,0,
Case 109,Round Grinding - Machine 2,Machine 2 - Round Grinding,23/03/2012 00:40,23/03/2012 01:33,000:53,50,Electrical Contact,ID4445,S,0,0,0,
Case 109,Round Grinding - Machine 2,Machine 2 - Round Grinding,23/03/2012 01:34,23/03/2012 04:08,002:34,50,Electrical Contact,ID4445,D,49,0,0,
Case 109,Final Inspection Q.C.,Quality Check 1,23/03/2012 07:25,23/03/2012 10:50,003:25,50,Electrical Contact,ID4618,D,45,4,0,
Case 109,Packing,Packing,25/03/2012 00:00,25/03/2012 01:00,000:00,50,Electrical Contact,ID4491,D,45,0,0,
Case 11,Turning & Milling - Machine 10,Machine 10 - Grinding,15/01/2012 18:04,15/01/2012 23:40,005:36,100,Spur Gear,ID4132,S,0,0,0,
Case 11,Turning & Milling - Machine 10,Machine 10 - Grinding,16/01/2012 06:59,16/01/2012 09:49,002:50,100,Spur Gear,ID4641,D,1,0,0,
Case 11,Turning & Milling Q.C.,Quality Check 1,16/01/2012 09:00,16/01/2012 09:54,000:54,100,Spur Gear,ID4287,D,0,0,0,
Case 11,Turning & Milling - Machine 10,Machine 10 - Grinding,16/01/2012 09:50,16/01/2012 16:22,006:32,100,Spur Gear,ID4641,D,17,0,0,
Case 11,Turning & Milling - Machine 10,Machine 10 - Grinding,16/01/2012 18:08,16/01/2012 23:38,005:30,100,Spur Gear,ID4132,D,18,0,0,
Case 11,Turning & Milling - Machine 10,Machine 10 - Grinding,16/01/2012 23:39,17/01/2012 06:37,006:58,100,Spur Gear,ID4932,D,19,0,0,
